# ============================================================
# SAINT LOUIS UNIVERSITY - SAMCIS
# BACHELOR OF SCIENCE IN COMPUTER SCIENCE (BSCS)
# Effective A.Y. 2018-2019
# ============================================================
# Format: YEAR|TERM|COURSE_NO|DESCRIPTIVE_TITLE|UNITS|PREREQ
# ============================================================

# ---------- FIRST YEAR - 1st Semester ----------
4|1st Semester|CS 412|Information Assurance and Security|3.0|core courses
4|1st Semester|CS 413|Professional Practice and Cyberethics|3.0|GETHICS, CS 231
4|1st Semester|CSE ELEC1|CS Elective 1|3.0|3rd year standing
4|1st Semester|CSE ELEC2|CS Elective 2|3.0|3rd year standing

# ---------- FOURTH YEAR - 2nd Semester ----------
4|2nd Semester|CFE 106B|Embracing the CICM Mission (Part B)|1.5|CFE 106A
4|2nd Semester|CS 421|CS Thesis 2|3.0|CS 411
4|2nd Semester|CS 422|Distributed Computing|3.0|4th year standing
4|2nd Semester|FOR LANG 1|Foreign Language 1|3.0|
4|2nd Semester|CSE ELEC3|CS Elective 3|3.0|4th year standing
4|2nd Semester|CSE ELEC4|CS Elective 4|3.0|4th year standing
